player,position,season,Team,TOI,GF_60,GA_60,GPM_60,xGF_60,xGA_60,xGPM_60,CF_60,CA_60,CPM_60
5EBASTIAN.AHO,D,20172018,NYI,332.83,0.037,0.098,-0.061,-0.097,0.2,-0.297,-0.89,-0.09,-0.8
AARON.EKBLAD,D,20172018,FLA,1500.68,0.112,0.079,0.032,0.007,0.189,-0.182,0.32,2.17,-1.85
AARON.EKBLAD,D,20182019,FLA,1563.2,0.28,0.08,0.2,0.094,-0.038,0.132,0.38,-2.13,2.51
AARON.NESS,D,20172018,WSH,94.7,0.05,0.008,0.042,-0.005,0.015,-0.02,-0.91,1.08,-1.99
ADAM.CLENDENING,D,20172018,ARI,76.33,0.022,0.04,-0.018,-0.003,0.158,-0.161,-0.02,2.14,-2.16
ADAM.CLENDENING,D,20182019,CBJ,35.47,0.014,-0.007,0.021,-0.018,0.047,-0.065,-0.18,1.05,-1.23
ADAM.CRACKNELL,F,20172018,DAL/NYR,33.83,-0.029,-0.007,-0.022,-0.043,0.033,-0.075,-0.34,-0.17,-0.16
ADAM.CRACKNELL,F,20182019,ANA,20.5,-0.019,0.004,-0.023,-0.007,0.035,-0.042,-0.41,-0.06,-0.35
ADAM.ERNE,F,20172018,T.B,229.85,-0.026,0.01,-0.036,-0.106,-0.14,0.035,-1.33,-2.77,1.45
ADAM.ERNE,F,20182019,T.B,631.37,0.015,-0.114,0.129,-0.105,-0.099,-0.006,-0.9,-0.48,-0.42
ADAM.GAUDETTE,F,20172018,VAN,59.87,-0.008,-0.055,0.047,0.016,0.027,-0.011,-0.36,0.33,-0.69
ADAM.GAUDETTE,F,20182019,VAN,530.47,-0.059,0.074,-0.133,-0.203,0.224,-0.427,-2.16,2.2,-4.36
ADAM.HENRIQUE,F,20172018,ANA/N.J,1067.67,-0.001,-0.199,0.198,-0.023,0.021,-0.044,-0.62,0.34,-0.96
ADAM.HENRIQUE,F,20182019,ANA,1031.92,-0.036,-0.099,0.063,-0.017,-0.117,0.1,-3.28,1.22,-4.49
ADAM.JOHNSON,F,20182019,PIT,31.83,0.049,-0.003,0.052,-0.011,0.008,-0.02,-0.06,0.07,-0.13
ADAM.LARSSON,D,20172018,EDM,1211.32,-0.042,-0.054,0.012,0.059,0.037,0.022,-0.37,-0.88,0.51
ADAM.LARSSON,D,20182019,EDM,1577.58,-0.326,0.126,-0.452,-0.049,-0.028,-0.02,-0.2,-2.44,2.24
ADAM.LOWRY,F,20172018,WPG,536.62,0.021,-0.031,0.052,0.094,-0.262,0.356,2.68,-5.64,8.32
ADAM.LOWRY,F,20182019,WPG,944.2,-0.114,-0.171,0.058,0.01,-0.127,0.137,2.34,-2.34,4.68
ADAM.MCQUAID,D,20172018,BOS,511.03,-0.122,-0.006,-0.115,-0.173,0.074,-0.247,-1.31,1.78,-3.09
ADAM.MCQUAID,D,20182019,CBJ/NYR,689.3,-0.058,-0.049,-0.009,-0.107,-0.081,-0.027,-5.11,-0.3,-4.81
ADAM.PELECH,D,20172018,NYI,1280.3,0,-0.121,0.121,0.016,-0.125,0.141,0.29,-0.4,0.68
ADAM.PELECH,D,20182019,NYI,1291.65,-0.054,-0.199,0.144,-0.034,-0.194,0.16,0.17,-2.36,2.53
ADRIAN.KEMPE,F,20172018,L.A,974.03,0.048,-0.132,0.18,-0.145,0.187,-0.332,-2.15,2.73,-4.88
ADRIAN.KEMPE,F,20182019,L.A,998.33,-0.117,-0.114,-0.004,-0.042,-0.122,0.08,-0.83,-2.35,1.51
A.J..GREER,F,20172018,COL,122.1,-0.019,-0.057,0.038,-0.058,0.043,-0.101,-2.14,0.94,-3.08
A.J..GREER,F,20182019,COL,92.62,-0.04,0.009,-0.049,0.003,-0.013,0.015,-0.82,-0.94,0.12
ALAN.QUINE,F,20172018,NYI,236.77,-0.042,-0.037,-0.005,-0.114,0.079,-0.194,-2.74,3.06,-5.8
ALAN.QUINE,F,20182019,CGY,119.6,-0.018,-0.015,-0.003,-0.047,-0.001,-0.046,-1.85,-1.08,-0.77
ALEC.MARTINEZ,D,20172018,L.A,1399.78,-0.034,-0.058,0.024,-0.122,0.063,-0.185,-2.41,3.11,-5.52
ALEC.MARTINEZ,D,20182019,L.A,1065.2,0.071,0.043,0.028,0.029,0.078,-0.049,-0.49,3.44,-3.93
ALEKSANDER.BARKOV,F,20172018,FLA,1274.53,0.185,0.078,0.107,0.082,0.023,0.059,1.27,-1.23,2.5
ALEKSANDER.BARKOV,F,20182019,FLA,1310.23,0.266,0.061,0.205,0.135,-0.004,0.139,-1.96,-0.99,-0.96
ALES.HEMSKY,F,20172018,MTL,50.37,-0.043,-0.025,-0.018,-0.049,0.035,-0.084,-0.63,-0.03,-0.6
ALEX.BIEGA,D,20172018,VAN,620.53,-0.086,-0.156,0.07,0.079,0.021,0.058,1.58,-0.14,1.73
ALEX.BIEGA,D,20182019,VAN,687.18,0.077,0.077,0,0.101,0.01,0.091,1.57,0.19,1.38
ALEX.BROADHURST,F,20172018,CBJ,19.25,-0.018,-0.019,0.001,0.038,-0.02,0.058,1.07,-0.44,1.5
